8, 5, 7, 2, 2, 4, 5, 7, 3, 3, 5, 7, 5, 4, 3
4, 3, 5, 4, 4, 4, 6, 7, 5, 6, 6, 7, 5, 8, 5
9, 2, 4, 1, 5, 7, 5, 6, 4, 1, 9, 4, 6, 7, 8
6, 5, 2, 1, 5, 5, 5, 4, 1, 6, 5, 1, 8, 9, 3
7, 7, 8, 5, 6, 8, 6, 4, 8, 6, 6, 7, 8, 5, 6
9, 4, 5, 6, 2, 9, 6, 2, 8, 5, 7, 7, 6, 1, 2
6, 9, 9, 6, 5, 8, 4, 5, 2, 5, 4, 4, 7, 1, 3
4, 2, 1, 5, 2, 3, 4, 2, 2, 5, 1, 4, 1, 5, 3
8, 2, 5, 5, 9, 6, 8, 9, 7, 4, 3, 4, 8, 2, 9
1, 3, 1, 6, 9, 3, 6, 2, 6, 5, 2, 3, 2, 2, 4
8, 8, 7, 3, 6, 8, 5, 9, 5, 7, 5, 9, 1, 2, 5
4, 1, 8, 2, 8, 1, 4, 2, 8, 6, 6, 6, 1, 6, 2
8, 1, 3, 9, 6, 5, 2, 4, 9, 3, 1, 2, 1, 4, 2
3, 2, 6, 9, 7, 7, 3, 5, 9, 8, 3, 8, 9, 9, 7
2, 1, 5, 8, 9, 8, 2, 3, 7, 2, 7, 7, 5, 8, 7
